PB15660@wilsonmoraes@1D8AA8E2-408D-4946-87FF-52849F80DEC5@bezos em 4.05.CRETA.1.82
13/11/2024 13:41:44: Acessou https://jefvirtual.jfpb.jus.br/cretapb/login.wsp
13/11/2024 13:43:51: Logou https://jefvirtual.jfpb.jus.br/cretapb/consulta/processo/pesquisar_geral.wsp?consulta.processo.tp_link=consulta
13/11/2024 13:44:13: Total: 2361
13/11/2024 13:49:58:  0500115-54.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0520496-20.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0507735-88.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0516072-03.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0502754-79.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0500197-85.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:58:  0500428-15.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:59:  0509930-75.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:59:  0508649-89.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:49:59:  0506475-73.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:10:  0514922-84.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:11:  0500270-57.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:11:  0500595-66.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:11:  0504918-51.2020.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:11:  0507586-58.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:12:  0513623-72.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:12:  0516369-10.2019.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:12:  0514057-90.2021.4.05.8200 >> Processo salvo no mongo sem os detalhes
13/11/2024 13:50:12:  0500262-80.2022.4.05.8200 >> Processo salvo no mongo sem os detalhes
